c16388	COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
c16444	COc1ccc(OC)c(C(O)CNC(=O)CN)c1
c16923	CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
c17584	COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
c17025	Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
c17375	CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
c19577	C/N=C(\NC)NCc1ccccc1
c17627	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
c16819	CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
c17460	CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
c19579	CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O
c19580	C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
c19581	NC(N)=NCC1COC2(CCCCC2)O1
c16771	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
c17144	CC(C)C[C@H](CN)CC(=O)O
c17411	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
c17026	CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
c17371	Nc1ccc(C(=O)O)c(O)c1
c16996	CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1
c19582	Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
c16937	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
c17550	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
c16912	Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
c16292	C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
c16938	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
c16803	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
c17398	COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
c16999	Nc1ccc(O)c(C(=O)O)c1
c19583	CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2
